지역,ID,시간,수압
양평지암,00002,시간 : 23/12/03 19:50:14,수압: 0021
양평지암,00002,시간 : 23/12/03 19:29:42,수압: 0020
양평지암,00002,시간 : 23/12/03 19:09:11,수압: 0020
양평지암,00002,시간 : 23/12/03 18:48:25,수압: 0021
양평지암,00002,시간 : 23/12/03 18:27:55,수압: 0020
양평지암,00002,시간 : 23/12/03 18:07:24,수압: 0021
양평지암,00002,시간 : 23/12/03 17:46:54,수압: 0020
양평지암,00002,시간 : 23/12/03 17:26:24,수압: 0021
양평지암,00002,시간 : 23/12/03 17:05:53,수압: 0021
양평지암,00002,시간 : 23/12/03 16:45:24,수압: 0021
양평지암,00002,시간 : 23/12/03 16:24:37,수압: 0021
양평지암,00002,시간 : 23/12/03 16:03:59,수압: 0021
양평지암,00002,시간 : 23/12/03 15:42:54,수압: 0021
양평지암,00002,시간 : 23/12/03 15:22:25,수압: 0021
양평지암,00002,시간 : 23/12/03 15:01:55,수압: 0021
양평지암,00002,시간 : 23/12/03 14:41:06,수압: 0021
양평지암,00002,시간 : 23/12/03 14:20:33,수압: 0021
양평지암,00002,시간 : 23/12/03 13:59:58,수압: 0021
양평지암,00002,시간 : 23/12/03 13:39:22,수압: 0021
양평지암,00002,시간 : 23/12/03 13:18:52,수압: 0021
양평지암,00002,시간 : 23/12/03 12:58:19,수압: 0021
양평지암,00002,시간 : 23/12/03 12:37:39,수압: 0021
양평지암,00002,시간 : 23/12/03 12:17:00,수압: 0021
양평지암,00002,시간 : 23/12/03 11:56:15,수압: 0021
양평지암,00002,시간 : 23/12/03 11:35:41,수압: 0021
양평지암,00002,시간 : 23/12/03 11:15:11,수압: 0020
양평지암,00002,시간 : 23/12/03 10:54:41,수압: 0021
양평지암,00002,시간 : 23/12/03 10:34:11,수압: 0021
양평지암,00002,시간 : 23/12/03 10:13:28,수압: 0020
양평지암,00002,시간 : 23/12/03 09:52:55,수압: 0021
양평지암,00002,시간 : 23/12/03 09:32:25,수압: 0020
